# 1    2        3        4        5        6        7        8        9     10       11     12    13
#      poorest  poorest  poorest  richest  richest  richest  poorest  fair  richest  % of  % of  % of
# iter  CAP      A_ID    GLOB_ID    CAP    A_ID     glob_ID  av cap  av cap  av cap  poor  fair  rich
   0   0        0        0       0      0       0       0     40.0  0     0    1.0    0
   1   0        0        0       72.0      0       15       0     40.0  72.0     0    0.5    0.5
   2   0        0        0       64.8      0       15       0     36.0  64.8     0    0.5    0.5
   3   0        0        0       64.8      0       15       0     36.0  64.8     0    0.5    0.5
   4   28.8        1        22       64.8      0       16       28.8     0  64.8     0.5    0    0.5
   5   0        0        0       116.63999999999999      0       17       0     0  84.24     0    0    1.0
   6   0        0        0       116.63999999999999      0       12       0     0  104.976     0    0    1.0
   7   0        0        0       104.97599999999998      0       12       0     0  99.144     0    0    1.0
   8   0        0        0       104.97599999999998      0       12       0     0  99.144     0    0    1.0
   9   0        0        0       167.96160000000003      1       29       0     0  136.46880000000002     0    0    1.0
